file;num_names;num_glb_names;num_loc_names;nst_logmodel;nst_logmodel_all;nst_logmodel_glb;nst_logmodel_maybe;nst_logmodel_approx;nst_logmodel_approx_maybe
1269860.js;4;3;1;0;3;3;0;0;0
107778.js;11;7;4;0;7;7;0;0;1
406544.js;2;1;1;1;2;1;1;1;1
2554989.js;14;2;12;5;7;2;7;5;8
1879398.js;34;13;21;2;15;13;9;2;10
266873.js;13;5;8;6;11;5;7;6;7
696780.js;7;6;1;0;6;6;0;0;0
2902701.js;13;5;8;5;10;5;5;5;5
4251652.js;3;1;2;0;1;1;0;0;0
3403756.js;13;2;11;2;4;2;3;2;5
2881017.js;6;3;3;2;5;3;2;2;2
933618.js;6;1;5;2;3;1;2;2;3
199347.js;10;5;5;0;5;5;1;0;3
4572582.js;4;1;3;3;4;1;3;3;3
1102547.js;12;7;5;3;10;7;3;3;4
1403103.js;20;10;10;4;14;10;5;4;7
3901043.js;12;1;11;2;3;1;2;2;2
1399596.js;24;6;18;1;7;6;3;1;9
4575866.js;17;8;9;4;12;8;4;4;6
32780.js;23;5;18;3;8;5;3;3;3
3222527.js;4;1;3;0;1;1;1;0;1
1950522.js;3;1;2;1;2;1;1;1;1
4462540.js;16;11;5;3;14;11;4;3;4
4910697.js;4;1;3;0;1;1;0;0;0
2104540.js;8;2;6;2;4;2;4;2;5
2038734.js;2;1;1;0;1;1;1;0;1
3162964.js;6;5;1;0;4;4;0;0;0
878797.js;30;16;14;6;22;16;7;6;8
4296003.js;13;11;2;0;11;11;0;0;0
1632184.js;30;2;28;3;5;2;4;3;5
4790254.js;7;2;5;3;5;2;3;3;3
242769.js;3;2;1;1;3;2;1;1;1
3518117.js;13;6;7;2;8;6;2;2;3
4777098.js;24;1;23;2;3;1;7;2;7
3613116.js;11;5;6;5;10;5;5;5;5
242746.js;3;2;1;1;3;2;1;1;1
673705.js;7;2;5;2;4;2;2;2;2
89015.js;15;1;14;3;4;1;6;3;6
1574842.js;5;2;3;0;2;2;0;0;0
4366946.js;8;1;7;1;2;1;2;1;3
1863827.js;18;1;17;6;7;1;13;6;14
3480713.js;10;8;2;0;8;8;0;0;1
2787480.js;4;3;1;1;4;3;1;1;1
2546837.js;17;1;16;3;4;1;7;3;7
896416.js;3;1;2;1;2;1;1;1;1
1034139.js;21;2;19;7;9;2;8;7;9
1878783.js;35;3;32;17;20;3;19;17;20
1402887.js;14;5;9;3;8;5;5;3;6
2892029.js;4;2;2;1;3;2;1;1;1
1804017.js;4;3;1;0;3;3;0;0;0
4342011.js;3;1;2;1;2;1;1;1;1
3203766.js;8;0;8;0;0;0;0;0;0
2438394.js;19;3;16;0;3;3;2;0;7
958687.js;25;7;18;11;18;7;12;11;15
3205298.js;34;13;21;4;17;13;6;4;6
896388.js;3;1;2;1;2;1;1;1;1
2446840.js;3;1;2;0;1;1;0;0;2
1121386.js;5;2;3;0;2;2;1;0;2
2653159.js;7;5;2;2;7;5;2;2;2
901109.js;14;3;11;2;5;3;3;2;5
293097.js;20;5;15;9;14;5;10;9;10
82852.js;5;4;1;1;5;4;1;1;1
3430994.js;44;5;39;3;8;5;7;3;11
2179845.js;14;2;12;2;3;1;2;2;4
4962034.js;16;3;13;1;4;3;1;1;5
2251607.js;43;11;32;18;29;11;19;18;21
5313736.js;11;7;4;2;9;7;2;2;2
3025471.js;9;1;8;3;4;1;3;3;3
2960270.js;20;3;17;6;9;3;8;6;9
1133849.js;54;12;42;10;22;12;13;10;19
86649.js;27;3;24;4;7;3;5;4;8
2229080.js;20;4;16;3;7;4;4;3;4
4109318.js;12;4;8;5;9;4;5;5;5
2056457.js;5;2;3;0;2;2;0;0;1
4261034.js;5;1;4;1;2;1;2;1;3
442893.js;13;2;11;2;4;2;4;2;4
1882408.js;15;4;11;2;6;4;4;2;5
1186497.js;8;5;3;0;5;5;0;0;1
1745816.js;13;2;11;0;1;1;0;0;0
1265982.js;23;11;12;1;12;11;2;1;2
476226.js;12;6;6;0;6;6;0;0;1
242239.js;8;1;7;0;1;1;0;0;0
2404211.js;21;10;11;2;12;10;2;2;3
2619475.js;13;3;10;2;5;3;4;2;4
1212232.js;27;2;25;0;2;2;6;0;10
1200690.js;23;6;17;10;16;6;15;10;15
81862.js;15;6;9;5;11;6;7;5;7
1375033.js;4;1;3;1;2;1;1;1;2
184061.js;22;1;21;0;1;1;2;0;2
1222447.js;12;3;9;3;6;3;3;3;3
312293.js;3;1;2;0;1;1;0;0;0
