file;num_names;num_glb_names;num_loc_names;nst_logmodel;nst_logmodel_all;nst_logmodel_glb;nst_logmodel_maybe;nst_logmodel_approx;nst_logmodel_approx_maybe
1269860.js;4;3;1;0;2;2;0;0;0
1879398.js;34;13;21;0;4;4;0;0;0
406544.js;2;1;1;0;1;1;0;0;0
2554989.js;14;2;12;0;1;1;0;0;1
107778.js;11;7;4;0;6;6;0;0;0
1798084.js;32;7;25;0;4;4;0;0;0
266873.js;13;5;8;0;5;5;0;0;0
696780.js;7;6;1;0;2;2;0;0;0
2902701.js;13;5;8;0;3;3;0;0;0
4251652.js;3;1;2;0;0;0;0;0;0
3403756.js;13;2;11;0;0;0;0;0;0
2881017.js;6;3;3;0;3;3;0;1;1
933618.js;6;1;5;0;0;0;0;0;0
3025471.js;9;1;8;0;1;1;0;0;0
4053524.js;26;6;20;0;3;3;0;2;2
199347.js;10;5;5;0;2;2;0;0;0
4572582.js;4;1;3;0;0;0;0;0;0
1102547.js;12;7;5;0;6;6;0;0;0
265275.js;9;3;6;0;3;3;0;0;0
1403103.js;20;10;10;0;9;9;0;0;0
3901043.js;12;1;11;0;1;1;0;0;0
1399596.js;24;6;18;0;3;3;0;0;0
4575866.js;17;8;9;0;5;5;0;0;0
32780.js;23;5;18;0;1;1;0;0;0
3222527.js;4;1;3;0;0;0;0;0;0
1950522.js;3;1;2;0;1;1;0;0;0
4910697.js;4;1;3;0;1;1;0;0;0
2104540.js;8;2;6;0;1;1;0;0;0
2038734.js;2;1;1;0;0;0;0;0;0
68424.js;38;1;37;0;1;1;0;0;0
3162964.js;6;5;1;0;4;4;0;0;0
878797.js;30;16;14;0;11;11;0;1;1
4296003.js;13;11;2;0;9;9;0;0;0
1632184.js;30;2;28;0;1;1;0;1;1
4790254.js;7;2;5;0;1;1;0;0;0
264612.js;10;4;6;0;3;3;0;0;0
242769.js;3;2;1;0;1;1;0;0;0
3518117.js;13;6;7;0;5;5;0;0;0
4777098.js;24;1;23;0;1;1;0;0;0
3613116.js;11;5;6;0;5;5;0;0;0
242746.js;3;2;1;0;1;1;0;0;0
622601.js;24;2;22;0;2;2;0;0;0
673705.js;7;2;5;0;2;2;0;1;1
89015.js;15;1;14;0;1;1;0;0;2
1574842.js;5;2;3;0;2;2;0;0;0
4366946.js;8;1;7;0;1;1;0;0;0
1863827.js;18;1;17;0;1;1;0;0;0
3480713.js;10;8;2;0;7;7;0;0;1
2787480.js;4;3;1;0;2;2;0;0;0
2546837.js;17;1;16;0;0;0;0;1;1
896416.js;3;1;2;0;0;0;0;0;0
1034139.js;21;2;19;0;1;1;0;0;0
1878783.js;35;3;32;0;2;2;0;0;0
1402887.js;14;5;9;0;2;2;0;0;0
2892029.js;4;2;2;0;0;0;0;0;0
1804017.js;4;3;1;0;2;2;0;0;0
197974.js;43;2;41;0;1;1;0;0;0
