file;num_names;num_glb_names;num_loc_names;jsn_logmodel;jsn_logmodel_all;jsn_logmodel_glb;jsn_logmodel_maybe;jsn_logmodel_approx;jsn_logmodel_approx_maybe
1269860.js;4;3;1;1;4;3;1;1;1
107778.js;11;7;4;0;7;7;0;0;0
406544.js;2;1;1;0;1;1;1;0;1
2554989.js;14;2;12;5;7;2;5;6;6
1879398.js;34;13;21;7;20;13;8;7;9
1798084.js;32;7;25;0;7;7;0;0;1
266873.js;13;5;8;4;9;5;5;5;6
696780.js;7;6;1;0;6;6;0;0;0
2902701.js;13;5;8;1;6;5;1;1;1
4251652.js;3;1;2;0;1;1;0;0;0
3403756.js;13;2;11;1;3;2;2;1;3
2881017.js;6;3;3;0;3;3;0;0;1
933618.js;6;1;5;2;3;1;2;2;3
3025471.js;9;1;8;0;1;1;0;0;0
4053524.js;26;6;20;0;6;6;3;1;4
199347.js;10;5;5;0;5;5;1;0;1
4572582.js;4;1;3;0;1;1;0;0;0
1102547.js;12;7;5;2;9;7;2;2;2
265275.js;9;3;6;2;5;3;2;3;3
1403103.js;20;10;10;3;13;10;4;4;5
1399596.js;24;6;18;1;7;6;2;4;6
4575866.js;17;8;9;0;8;8;1;1;2
32780.js;23;5;18;3;8;5;3;4;4
3222527.js;4;1;3;0;1;1;1;0;1
1950522.js;3;1;2;0;1;1;0;0;0
4910697.js;4;1;3;0;1;1;0;0;0
2104540.js;8;2;6;0;2;2;3;0;3
2038734.js;2;1;1;1;2;1;1;1;1
68424.js;38;1;37;20;21;1;22;20;22
3162964.js;6;5;1;0;4;4;0;0;0
878797.js;30;16;14;4;20;16;5;4;5
4296003.js;13;11;2;0;10;10;0;0;0
1632184.js;30;2;28;9;11;2;11;11;13
4790254.js;7;2;5;0;2;2;1;0;1
264612.js;10;4;6;2;6;4;2;6;6
242769.js;3;2;1;0;2;2;0;0;0
3518117.js;13;6;7;2;8;6;2;2;2
4777098.js;24;1;23;16;17;1;20;16;20
3613116.js;11;5;6;1;6;5;2;1;3
242746.js;3;2;1;0;2;2;0;0;0
673705.js;7;2;5;4;6;2;5;4;5
89015.js;15;1;14;1;2;1;1;2;2
1574842.js;5;2;3;0;2;2;0;0;0
4366946.js;8;1;7;2;3;1;2;2;3
3480713.js;10;8;2;0;8;8;0;0;0
2787480.js;4;3;1;0;3;3;1;0;1
2546837.js;17;1;16;2;3;1;3;3;3
896416.js;3;1;2;0;1;1;0;0;0
1878783.js;35;3;32;7;10;3;8;8;10
1402887.js;14;5;9;0;5;5;0;0;0
2892029.js;4;2;2;1;3;2;1;1;1
1804017.js;4;3;1;0;3;3;0;0;0
197974.js;43;2;41;12;14;2;13;13;14
1427213.js;15;3;12;1;4;3;2;1;2
4342011.js;3;1;2;1;2;1;1;1;1
3203766.js;8;0;8;0;0;0;0;0;0
2438394.js;19;3;16;0;3;3;2;0;3
958687.js;25;7;18;0;7;7;0;0;0
3205298.js;34;13;21;5;18;13;5;5;8
896388.js;3;1;2;0;1;1;0;0;0
2446840.js;3;1;2;0;1;1;0;0;0
221188.js;37;5;32;1;6;5;3;1;5
1224037.js;39;2;37;0;2;2;1;1;2
1121386.js;5;2;3;0;2;2;1;0;1
2653159.js;7;5;2;2;7;5;2;2;2
901109.js;14;3;11;1;4;3;1;1;1
293097.js;20;5;15;3;8;5;3;3;3
82852.js;5;4;1;1;5;4;1;1;1
3430994.js;44;5;39;3;8;5;3;5;5
2179845.js;14;2;12;3;5;2;3;3;3
4962034.js;16;3;13;0;3;3;0;0;0
