file;num_names;num_glb_names;num_loc_names;nst_logmodel;nst_logmodel_all;nst_logmodel_glb;nst_logmodel_maybe;nst_logmodel_approx;nst_logmodel_approx_maybe
1269860.js;4;3;1;1;4;3;1;1;1
107778.js;11;7;4;1;8;7;1;1;1
406544.js;2;1;1;0;1;1;1;0;1
2554989.js;14;2;12;3;5;2;3;3;3
1879398.js;34;13;21;4;17;13;4;4;4
1798084.js;32;7;25;0;7;7;0;0;0
266873.js;13;5;8;3;8;5;3;3;3
696780.js;7;6;1;0;6;6;0;0;0
2902701.js;13;5;8;0;5;5;0;0;0
4251652.js;3;1;2;0;1;1;0;0;0
3403756.js;13;2;11;1;3;2;1;1;1
2881017.js;6;3;3;0;3;3;0;0;0
933618.js;6;1;5;2;3;1;2;2;2
3025471.js;9;1;8;0;1;1;0;0;0
4053524.js;26;6;20;0;6;6;5;1;6
199347.js;10;5;5;0;5;5;1;0;1
4572582.js;4;1;3;1;2;1;1;1;1
1102547.js;12;7;5;3;10;7;3;3;3
265275.js;9;3;6;3;6;3;3;3;3
1403103.js;20;10;10;0;10;10;1;0;1
3901043.js;12;1;11;3;4;1;3;3;3
1399596.js;24;6;18;0;6;6;1;1;2
4575866.js;17;8;9;0;8;8;1;0;1
32780.js;23;5;18;3;8;5;4;3;4
3222527.js;4;1;3;0;1;1;0;0;0
1950522.js;3;1;2;0;1;1;0;0;0
4910697.js;4;1;3;0;1;1;0;0;0
2104540.js;8;2;6;2;4;2;3;3;4
2038734.js;2;1;1;1;2;1;1;1;1
68424.js;38;1;37;7;8;1;8;7;8
3162964.js;6;5;1;0;4;4;0;0;0
878797.js;30;16;14;2;18;16;2;2;2
4296003.js;13;11;2;0;11;11;0;0;0
1632184.js;30;2;28;0;2;2;1;1;2
4790254.js;7;2;5;1;3;2;1;1;1
264612.js;10;4;6;3;7;4;3;4;4
242769.js;3;2;1;0;2;2;0;0;0
3518117.js;13;6;7;1;7;6;1;1;1
4777098.js;24;1;23;1;2;1;1;1;1
3613116.js;11;5;6;3;8;5;3;3;3
242746.js;3;2;1;0;2;2;0;0;0
673705.js;7;2;5;2;4;2;2;2;2
89015.js;15;1;14;5;6;1;5;5;5
1574842.js;5;2;3;0;2;2;0;0;0
4366946.js;8;1;7;1;2;1;1;2;2
1863827.js;18;1;17;5;6;1;5;5;5
3480713.js;10;8;2;0;8;8;0;0;0
2787480.js;4;3;1;1;4;3;1;1;1
2546837.js;17;1;16;0;1;1;0;1;2
896416.js;3;1;2;1;2;1;1;1;1
1034139.js;21;2;19;5;7;2;6;5;6
1878783.js;35;3;32;4;7;3;4;5;5
1402887.js;14;5;9;1;6;5;1;1;1
2892029.js;4;2;2;1;3;2;1;1;1
1804017.js;4;3;1;0;3;3;0;0;0
197974.js;43;2;41;4;6;2;4;4;5
1427213.js;15;3;12;3;6;3;4;3;4
4342011.js;3;1;2;0;1;1;0;0;0
3203766.js;8;0;8;0;0;0;0;0;0
2438394.js;19;3;16;1;4;3;1;1;1
958687.js;25;7;18;0;7;7;0;0;0
3205298.js;34;13;21;1;14;13;1;2;2
896388.js;3;1;2;1;2;1;1;1;1
2446840.js;3;1;2;0;1;1;0;0;0
221188.js;37;5;32;1;6;5;1;2;3
1224037.js;39;2;37;1;3;2;2;1;2
1121386.js;5;2;3;0;2;2;0;0;0
2653159.js;7;5;2;1;6;5;1;1;1
901109.js;14;3;11;0;3;3;0;0;0
293097.js;20;5;15;2;7;5;2;2;2
82852.js;5;4;1;1;5;4;1;1;1
3430994.js;44;5;39;1;6;5;1;2;2
2179845.js;14;2;12;2;4;2;2;2;2
4962034.js;16;3;13;0;3;3;0;0;0
2251607.js;43;11;32;17;28;11;17;18;20
5313736.js;11;7;4;1;8;7;1;1;1
3463721.js;17;5;12;3;8;5;3;3;3
35985.js;3;2;1;1;3;2;1;1;1
2960270.js;20;3;17;2;5;3;2;2;2
1133849.js;54;12;42;1;13;12;1;1;1
86649.js;27;3;24;0;3;3;0;0;0
3651502.js;15;3;12;3;6;3;3;3;3
2229080.js;20;4;16;0;4;4;0;0;0
4109318.js;12;4;8;4;8;4;4;4;4
2056457.js;5;2;3;0;2;2;0;0;0
4261034.js;5;1;4;0;1;1;0;0;0
442893.js;13;2;11;0;2;2;0;0;0
1882408.js;15;4;11;2;6;4;2;2;2
1186497.js;8;5;3;0;5;5;0;0;0
2834544.js;28;25;3;0;25;25;0;1;1
4332841.js;25;2;23;8;10;2;8;8;8
1745816.js;13;2;11;0;2;2;0;0;0
1265982.js;23;11;12;4;15;11;4;4;4
476226.js;12;6;6;0;6;6;0;0;0
4254729.js;23;4;19;1;5;4;2;1;2
2404211.js;21;10;11;2;12;10;2;2;2
2619475.js;13;3;10;2;5;3;2;2;2
1212232.js;27;2;25;0;2;2;0;0;0
1200690.js;23;6;17;1;7;6;1;1;1
81862.js;15;6;9;4;10;6;5;4;5
2792864.js;34;3;31;4;7;3;6;4;6
312873.js;15;3;12;0;3;3;0;0;0
1375033.js;4;1;3;0;1;1;0;0;0
184061.js;22;1;21;0;1;1;0;0;0
1222447.js;12;3;9;2;5;3;2;2;2
312293.js;3;1;2;0;1;1;0;0;0
3266377.js;8;6;2;1;7;6;1;1;1
2624961.js;25;1;24;7;8;1;7;7;7
1897740.js;24;13;11;0;13;13;0;0;0
2319560.js;4;3;1;0;3;3;0;0;0
12723.js;5;3;2;1;4;3;1;1;1
282528.js;4;1;3;2;3;1;2;2;2
4555038.js;2;1;1;0;1;1;0;0;0
5136727.js;45;20;25;1;21;20;1;1;2
2271159.js;11;2;9;0;2;2;0;0;0
3802027.js;7;1;6;0;1;1;0;0;0
4149008.js;19;14;5;3;17;14;3;3;3
664897.js;55;19;36;0;19;19;0;0;0
2629018.js;10;5;5;1;6;5;1;1;1
495163.js;33;10;23;11;21;10;12;11;12
558223.js;15;7;8;0;7;7;0;0;0
372326.js;18;4;14;0;4;4;0;0;0
5109360.js;6;3;3;2;5;3;2;2;2
1864241.js;8;3;5;0;3;3;0;0;0
2633501.js;17;12;5;0;11;11;0;0;0
2461797.js;18;3;15;2;5;3;2;2;2
4656992.js;34;22;12;0;22;22;0;0;0
2089326.js;11;9;2;1;10;9;1;1;1
2357015.js;11;2;9;2;4;2;2;2;2
279284.js;7;4;3;0;4;4;0;0;0
3089289.js;2;1;1;1;2;1;1;1;1
