file;num_names;num_glb_names;num_loc_names;nst_logmodel;nst_logmodel_all;nst_logmodel_glb;nst_logmodel_maybe
1269860.js;4;3;1;1;4;3;1
1879398.js;34;13;21;2;15;13;2
406544.js;2;1;1;0;1;1;0
2554989.js;14;2;12;3;5;2;3
107778.js;11;7;4;0;6;6;0
1798084.js;32;7;25;0;7;7;0
266873.js;13;5;8;1;6;5;1
696780.js;7;6;1;0;6;6;0
2902701.js;13;5;8;0;5;5;0
4251652.js;3;1;2;0;1;1;0
3403756.js;13;2;11;0;2;2;0
2881017.js;6;3;3;0;3;3;0
933618.js;6;1;5;2;3;1;2
3025471.js;9;1;8;0;1;1;0
4053524.js;26;6;20;3;9;6;4
199347.js;10;5;5;1;6;5;1
4572582.js;4;1;3;1;2;1;1
1102547.js;12;7;5;0;7;7;0
265275.js;9;3;6;1;4;3;1
1403103.js;20;10;10;0;10;10;0
3901043.js;12;1;11;3;4;1;2
1399596.js;24;6;18;0;6;6;1
4575866.js;17;8;9;1;9;8;1
32780.js;23;5;18;4;8;4;4
3222527.js;4;1;3;0;1;1;0
1950522.js;3;1;2;1;2;1;1
4910697.js;4;1;3;0;1;1;0
2104540.js;8;2;6;0;2;2;0
2038734.js;2;1;1;0;1;1;0
68424.js;38;1;37;6;7;1;7
3162964.js;6;5;1;0;4;4;0
878797.js;30;16;14;0;15;15;0
4296003.js;13;11;2;0;10;10;0
1632184.js;30;2;28;0;2;2;0
4790254.js;7;2;5;1;3;2;1
264612.js;10;4;6;1;5;4;1
242769.js;3;2;1;0;2;2;0
3518117.js;13;6;7;1;7;6;1
4777098.js;24;1;23;0;1;1;0
3613116.js;11;5;6;3;8;5;3
242746.js;3;2;1;0;2;2;0
622601.js;24;2;22;0;2;2;0
673705.js;7;2;5;0;2;2;0
89015.js;15;1;14;1;2;1;1
1574842.js;5;2;3;0;2;2;0
4366946.js;8;1;7;2;3;1;2
1863827.js;18;1;17;5;6;1;6
3480713.js;10;8;2;0;8;8;0
2787480.js;4;3;1;1;3;2;1
2546837.js;17;1;16;0;1;1;0
896416.js;3;1;2;0;1;1;0
1034139.js;21;2;19;6;8;2;6
1878783.js;35;3;32;2;5;3;2
1402887.js;14;5;9;0;5;5;1
2892029.js;4;2;2;1;3;2;1
1804017.js;4;3;1;0;3;3;0
197974.js;43;2;41;0;2;2;0
1427213.js;15;3;12;1;4;3;1
4342011.js;3;1;2;0;1;1;0
3203766.js;8;0;8;0;0;0;0
4071870.js;4;1;3;0;1;1;0
958687.js;25;7;18;0;7;7;0
3205298.js;34;13;21;0;13;13;0
896388.js;3;1;2;0;1;1;0
2446840.js;3;1;2;0;1;1;0
221188.js;37;5;32;1;6;5;3
1224037.js;39;2;37;2;4;2;2
807576.js;13;7;6;1;8;7;1
1121386.js;5;2;3;0;2;2;0
2653159.js;7;5;2;0;5;5;0
901109.js;14;3;11;0;3;3;0
293097.js;20;5;15;0;5;5;0
82852.js;5;4;1;0;4;4;0
3430994.js;44;5;39;0;5;5;0
2179845.js;14;2;12;2;4;2;2
4962034.js;16;3;13;0;3;3;0
